Date,HoursOfSun,City,District,Season,Sun_Rise,Sun_Set,Moon_Rise,Moon_Set,Moon_Phase,Moon_Age,Temperature_Minimum_Value,Temperature_Maximum_Value,RealFeelTemperature_Minimum_Value,RealFeelTemperature_Minimum_Phrase,RealFeelTemperature_Maximum_Value,RealFeelTemperature_Maximum_Phrase,RealFeelTemperatureShade_Minimum_Value,RealFeelTemperatureShade_Minimum_Phrase,RealFeelTemperatureShade_Maximum_Value,RealFeelTemperatureShade_Maximum_Phrase,DegreeDaySummary_Heating_Value,DegreeDaySummary_Cooling_Value,Day_IconPhrase,Day_HasPrecipitation,Day_ShortPhrase,Day_LongPhrase,Day_PrecipitationProbability,Day_ThunderstormProbability,Day_RainProbability,Day_SnowProbability,Day_IceProbability,Day_Wind_Speed_Value,Day_Wind_Direction_Degrees,Day_Wind_Direction_Localized,Day_WindGust_Speed_Value,Day_WindGust_Direction_Degrees,Day_WindGust_Direction_Localized,Day_TotalLiquid_Value,Day_Rain_Value,Day_Snow_Value,Day_Ice_Value,Day_HoursOfPrecipitation,Day_HoursOfRain,Day_HoursOfSnow,Day_HoursOfIce,Day_CloudCover,Day_Evapotranspiration_Value,Day_SolarIrradiance_Value,Day_RelativeHumidity_Minimum,Day_RelativeHumidity_Maximum,Day_RelativeHumidity_Average,Day_WetBulbTemperature_Minimum_Value,Day_WetBulbTemperature_Maximum_Value,Day_WetBulbTemperature_Average_Value,Day_WetBulbGlobeTemperature_Minimum_Value,Day_WetBulbGlobeTemperature_Maximum_Value,Day_WetBulbGlobeTemperature_Average_Value,Night_IconPhrase,Night_HasPrecipitation,Night_ShortPhrase,Night_LongPhrase,Night_PrecipitationProbability,Night_ThunderstormProbability,Night_RainProbability,Night_SnowProbability,Night_IceProbability,Night_Wind_Speed_Value,Night_Wind_Direction_Degrees,Night_Wind_Direction_Localized,Night_WindGust_Speed_Value,Night_WindGust_Direction_Degrees,Night_WindGust_Direction_Localized,Night_TotalLiquid_Value,Night_Rain_Value,Night_Snow_Value,Night_Ice_Value,Night_HoursOfPrecipitation,Night_HoursOfRain,Night_HoursOfSnow,Night_HoursOfIce,Night_CloudCover,Night_Evapotranspiration_Value,Night_SolarIrradiance_Value,Night_RelativeHumidity_Minimum,Night_RelativeHumidity_Maximum,Night_RelativeHumidity_Average,Night_WetBulbTemperature_Minimum_Value,Night_WetBulbTemperature_Maximum_Value,Night_WetBulbTemperature_Average_Value,Night_WetBulbGlobeTemperature_Minimum_Value,Night_WetBulbGlobeTemperature_Maximum_Value,Night_WetBulbGlobeTemperature_Average_Value,AirAndPollen_AirQuality,AirAndPollen_Grass,AirAndPollen_Mold,AirAndPollen_Ragweed,AirAndPollen_Tree,AirAndPollen_UVIndex,Day_PrecipitationType,Day_PrecipitationIntensity
2024-11-01 19:16:18.522333,10.5,Afyonkarahisar,Afyonkarahisar Sultandagı,Autumn,2024-11-01T07:22:00+03:00,2024-11-01T17:55:00+03:00,2024-11-01T07:12:00+03:00,2024-11-01T17:38:00+03:00,New,0,5.0,17.78,5.0,Chilly,19.44,Pleasant,5.0,Chilly,17.78,Pleasant,-10.56,-17.78,Sunny,False,Plenty of sunshine,Plenty of sunshine,1,0,1,0,0,7.4,108,ESE,29.61,98,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.032,4281.2,40,87,60,4.44,10.56,8.33,5.56,14.44,11.11,Mostly clear,False,Mainly clear,Mainly clear,1,0,1,0,0,7.4,130,SE,18.51,123,ESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,61,84,78,4.44,8.33,6.11,5.56,10.56,7.22,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.527828,10.5,Afyonkarahisar,Afyonkarahisar Cobanlar,Autumn,2024-11-01T07:24:00+03:00,2024-11-01T17:56:00+03:00,2024-11-01T07:14:00+03:00,2024-11-01T17:40:00+03:00,New,0,2.22,16.67,3.89,Cold,18.89,Pleasant,3.89,Cold,16.67,Cool,-8.89,-17.78,Sunny,False,Plenty of sun,Plenty of sun,1,0,1,0,0,5.63,57,ENE,29.61,94,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4257.3,35,77,50,3.33,8.89,6.11,4.44,13.33,9.44,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,3.7,128,SE,11.1,144,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,46,81,67,2.22,7.78,4.44,3.33,10.56,6.67,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.533842,10.5,Afyonkarahisar,Afyonkarahisar Dazkiri,Autumn,2024-11-01T07:27:00+03:00,2024-11-01T18:01:00+03:00,2024-11-01T07:17:00+03:00,2024-11-01T17:45:00+03:00,New,0,3.33,17.78,3.33,Cold,18.33,Pleasant,3.33,Cold,16.67,Cool,-10.0,-17.78,Sunny,False,Plenty of sun,Plenty of sun,0,0,0,0,0,9.33,59,ENE,22.21,86,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.54,4367.4,29,78,48,2.78,9.44,7.22,4.44,13.33,10.56,Clear,False,Clear,Clear,0,0,0,0,0,5.63,68,ENE,13.04,81,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,37,80,63,2.78,7.22,3.89,3.89,10.56,6.11,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.539833,10.4,Afyonkarahisar,Afyonkarahisar Hocalar,Autumn,2024-11-01T07:27:00+03:00,2024-11-01T18:00:00+03:00,2024-11-01T07:18:00+03:00,2024-11-01T17:44:00+03:00,New,0,2.78,18.33,2.78,Cold,19.44,Pleasant,2.78,Cold,17.22,Pleasant,-10.0,-17.78,Sunny,False,Plenty of sun,Plenty of sun,0,0,0,0,0,9.33,74,ENE,25.91,50,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2859999999999996,4306.3,29,83,47,2.22,9.44,7.22,3.33,13.89,10.56,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,0,0,0,0,0,9.33,54,NE,20.44,21,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.254,0.0,46,80,70,2.78,6.67,4.44,3.89,10.0,6.11,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.544837,10.4,Afyonkarahisar,Afyonkarahisar Bayat,Autumn,2024-11-01T07:24:00+03:00,2024-11-01T17:55:00+03:00,2024-11-01T07:14:00+03:00,2024-11-01T17:39:00+03:00,New,0,1.67,15.56,2.78,Cold,16.67,Cool,2.78,Cold,15.0,Cool,-8.33,-17.78,Sunny,False,Plenty of sun,Plenty of sun,1,0,1,0,0,9.33,87,E,29.61,101,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.032,4243.7,36,86,55,2.22,8.33,6.67,2.78,12.22,8.89,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,1,0,1,0,0,7.4,76,ENE,16.74,73,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,53,86,75,1.67,6.11,3.33,2.78,8.33,5.0,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.549827,10.5,Afyonkarahisar,Afyonkarahisar Evciler,Autumn,2024-11-01T07:27:00+03:00,2024-11-01T18:01:00+03:00,2024-11-01T07:17:00+03:00,2024-11-01T17:45:00+03:00,New,0,3.33,17.78,3.33,Cold,18.33,Pleasant,3.33,Cold,16.67,Cool,-10.0,-17.78,Sunny,False,Plenty of sun,Plenty of sun,0,0,0,0,0,9.33,59,ENE,22.21,86,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.54,4367.4,29,78,48,2.78,9.44,7.22,4.44,13.33,10.56,Clear,False,Clear,Clear,0,0,0,0,0,5.63,68,ENE,13.04,81,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,37,80,63,2.78,7.22,3.89,3.89,10.56,6.11,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.555848,10.4,Afyonkarahisar,Afyonkarahisar Kiziloren,Autumn,2024-11-01T07:26:00+03:00,2024-11-01T18:00:00+03:00,2024-11-01T07:16:00+03:00,2024-11-01T17:44:00+03:00,New,0,2.78,18.33,2.78,Cold,19.44,Pleasant,2.78,Cold,17.22,Pleasant,-10.0,-17.78,Sunny,False,Plenty of sun,Plenty of sun,0,0,0,0,0,9.33,74,ENE,25.91,50,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2859999999999996,4306.3,29,83,47,2.22,9.44,7.22,3.33,13.89,10.56,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,0,0,0,0,0,9.33,54,NE,20.44,21,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.254,0.0,46,80,70,2.78,6.67,4.44,3.89,10.0,6.11,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.562338,10.6,Aydın,,Autumn,2024-11-01T07:35:00+03:00,2024-11-01T18:09:00+03:00,2024-11-01T07:25:00+03:00,2024-11-01T17:54:00+03:00,New,0,10.56,26.67,11.11,Chilly,27.22,Pleasant,11.11,Chilly,25.56,Pleasant,-17.78,-17.78,Sunny,False,Pleasant with plenty of sun,Pleasant with plenty of sun,0,0,0,0,0,7.4,171,S,25.91,119,ESE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.794,4370.5,22,54,38,8.89,14.44,11.67,11.67,20.0,16.11,Clear,False,Clear,Clear,0,0,0,0,0,5.63,43,NE,9.33,76,ENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.254,0.0,46,64,59,7.78,12.78,9.44,10.0,16.67,12.22,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.567836,10.4,Aydın,Aydın Nazilli,Autumn,2024-11-01T07:33:00+03:00,2024-11-01T18:07:00+03:00,2024-11-01T07:23:00+03:00,2024-11-01T17:52:00+03:00,New,0,9.44,22.78,10.0,Chilly,23.89,Pleasant,10.0,Chilly,21.11,Pleasant,-15.56,-17.78,Sunny,False,Pleasant with plenty of sun,Pleasant with plenty of sun,0,0,0,0,0,5.63,70,ENE,20.44,13,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.794,4390.7,30,59,40,7.78,12.78,11.11,10.0,17.78,15.0,Clear,False,Clear,Clear,0,0,0,0,0,7.4,148,SSE,16.74,146,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.254,0.0,38,64,55,7.22,11.11,8.33,8.89,15.0,11.11,Good,Low,Low,Low,Low,Moderate,,
2024-11-01 19:16:18.573341,10.5,Aydın,Aydın Soke,Autumn,2024-11-01T07:36:00+03:00,2024-11-01T18:11:00+03:00,2024-11-01T07:27:00+03:00,2024-11-01T17:56:00+03:00,New,0,10.56,20.56,10.0,Chilly,21.67,Pleasant,10.0,Chilly,18.89,Pleasant,-15.0,-17.78,Sunny,False,Nice with plenty of sun,Nice with plenty of sun,0,0,0,0,0,9.33,4,N,24.14,23,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.794,4364.8,35,64,44,8.33,12.78,11.11,10.56,16.67,15.0,Mostly clear,False,Clear to partly cloudy,Clear to partly cloudy,0,0,0,0,0,9.33,24,NNE,16.74,300,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.254,0.0,57,68,62,8.33,12.78,10.0,10.0,15.56,11.67,Good,Low,Low,Low,Low,Moderate,,
